Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	LIMSTON_BP	LIMSTON_DT	LIMSTON_SVM	LIMSTON_STACK	LIMSTON_RF	LIMSTON_ADA	LIMSTON_XGB	LIMSTON_GBC
3474.125	159.3829956	3.759	2.812999964	41.81700134	3.686000109	607.9140015000003	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3474.25	158.8179932	3.599	2.822000027	33.67699814	3.588000059	588.5830078	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3474.375	159.3739929	3.721	2.834000111	32.31800079	3.461999893	534.7930298	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3474.5	160.9369965	4.063	2.842999935	36.38100052	3.339999914	490.1440125000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3474.625	162.6100006	4.544	2.846999884	44.42100143	3.253999949	467.14300539999977	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3474.75	163.1499939	5.041	2.846999884	53.16400147	3.232000113	455.9599915000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3474.875	162.2610016	5.331	2.846999884	53.86299896	3.265000105	443.3599854	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3475.0	160.6820068	5.297	2.848999977	44.10100174	3.321000099	406.7489929000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3475.125	160.1900024	5.284	2.851000071	33.28900147	3.378999949	337.05599979999994	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3475.25	162.4349976	5.745	2.852999926	32.56499863	3.430000067	262.32998660000004	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3475.375	167.9320068	6.825	2.849999905	47.81800079	3.471999884	202.68099980000005	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3475.5	175.0590057	8.243	2.844000101	73.35199738	3.5	164.69599920000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3475.625	181.0559998	9.515	2.835000038	95.64199829	3.513999939	147.14599609999996	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3475.75	183.9340057	10.192	2.826999903	108.3209992	3.52699995	146.95199589999993	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3475.875	183.3029938	10.14	2.819999933	109.7630005	3.549999952	159.1309966999999	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3476.0	180.503006	9.596	2.812999964	98.26000214	3.575999975	178.2129974	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3476.125	177.2319946	8.899	2.808000088	77.46900177	3.584000111	201.09399409999997	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3476.25	175.1340027	8.32	2.806999922	63.79100037	3.569999933	226.86399840000013	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3476.375	174.3110046	7.997	2.806999922	67.1190033	3.542999983	257.2739867999999	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3476.5	173.5859985	7.832	2.805999994	80.57800293	3.509000063	298.74899289999996	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
