DEPTH	AC	CNL	DEN	GR	PE	RLLD	Litho_Pre	RES_ZY
3447.875	173.576004	8.192	2.809999943	45.06600189	3.484999895	235.5740051	5	5
3448	182.6710053	10.028	2.790999889	59.76100159	3.453000069	163.5950012	5	5
3448.125	188.7799988	11.832	2.773000002	76.29799652	3.420000076	139.2039948	5	5
3448.25	191.0189972	13.167	2.760999918	95.97100067	3.395999908	142.1860046	5	5
3448.375	188.9230042	13.71	2.75699997	112.0739975	3.385999918	169.1369934	5	5
3448.5	182.3739929	13.172	2.762000084	109.2310028	3.385999918	208.2409973	5	5
3448.625	172.2640076	11.558	2.769999981	84.78500366	3.385999918	227.776001	5	5
3448.75	162.9880066	9.624	2.780999899	53.29100037	3.384999991	207.973999	5	5
3448.875	157.1340027	8.12	2.792999983	29.81599999	3.390000105	168.2039948	5	5
3449	154.5740051	7.332	2.803999901	19.72400093	3.400000095	131.8119965	5	5
3449.125	154.9120026	7.13	2.808000088	17.40600014	3.407999992	105.7109985	5	5
3449.25	156.9629974	7.165	2.806999922	16.70499992	3.414000034	90.02999878	4	4
3449.375	159.0679932	7.202	2.805000067	15.56299973	3.424000025	83.74099731	4	4
3449.5	160.4029999	7.242	2.805999994	15.4630003	3.433000088	85.09799957	4	4
3449.625	160.8560028	7.337	2.809000015	17.19300079	3.430000067	91.66400147	4	4
3449.75	160.8079987	7.45	2.808000088	18.35499954	3.414000034	97.78600311	4	4
3449.875	160.8229981	7.489	2.805000067	17.40999985	3.395999908	98.85700226	4	4
3450	161.2949982	7.377	2.801000118	14.79300022	3.384999991	97.85500336	4	4
3450.125	162.279007	7.188	2.795000076	12.89299965	3.382999897	101.1380005	4	4
3450.25	163.3860016	7.115	2.785000086	12.71700001	3.384999991	112.6439972	4	4
3450.375	164.2290039	7.283	2.775000095	12.90200043	3.375	135.2380066	4	4
3450.5	164.9060059	7.635	2.765000105	13.20600033	3.348999977	175.4440002	4	4
3450.625	165.4440002	7.971	2.753999949	13.55000019	3.315000057	241.0039978	4	4
3450.75	165.4170075	8.126	2.746000052	13.11100006	3.288000107	350.5889893	4	4
3450.875	164.0169983	8.053	2.749000073	12.50399971	3.280999899	544.526001	4	4
3451	161.3240051	7.655	2.76699996	14.14700031	3.296000004	867.7369995	4	4
3451.125	157.8059998	6.919	2.796999931	17.21899986	3.328999996	1389.958984	4	4
3451.25	154.5780029	6.135	2.825000048	18.56399918	3.368999958	1982.765991	4	4
3451.375	152.4779968	5.611	2.844000101	18.30999947	3.400000095	2330.270996	4	4
3451.5	151.3190002	5.405	2.852999926	17.69000053	3.411999941	2379.61792	3	3
3451.625	150.8970032	5.401	2.857000113	17.36400032	3.404999971	2208.343994	4	4
3451.75	151.1269989	5.5	2.859999895	17.27799988	3.388000011	1920.182983	3	3
3451.875	151.7610016	5.667	2.861000061	18.40999985	3.375	1585.732056	1	1
3452	152.9900055	5.903	2.858999968	21.13599968	3.375999928	1225.406006	4	4
3452.125	154.852005	6.156	2.855999947	24.46800041	3.388000011	887.802002	5	5
3452.25	156.6300049	6.399	2.854000092	29.49200058	3.403000116	667.1920166	5	5
3452.375	157.7169952	6.679	2.849999905	36.85800171	3.415999889	566.552002	5	5
3452.5	158.026001	6.864	2.845000029	44.16699982	3.431999922	561.8670044	5	5
3452.625	157.5279999	6.69	2.842999935	46.22200012	3.457999945	598.5130005	5	5
3452.75	156.3220062	6.237	2.845999956	41.375	3.483999968	668.4310303	5	5
3452.875	154.6399994	5.806	2.84800005	33.58000183	3.496999979	774.2739868	5	5
3453	153.0809937	5.487	2.845999956	26.76300049	3.494999886	766.1979981	5	5
3453.125	152.5269928	5.372	2.838000059	23.61800003	3.484999895	618.9390259	4	4
3453.25	153.9839935	5.679	2.825000048	26.88299942	3.457000017	424.1080017	5	5
3453.375	159.2189941	6.604	2.801000118	35.66899872	3.394999981	254.5149994	5	5
3453.5	168.5859985	8.289	2.753000021	45.60900116	3.298000097	141.9700012	5	5
3453.625	177.3500061	10.424	2.671999931	56.63999939	3.174999952	89.2009964	2	2
3453.75	180.9100037	12.482	2.58100009	78.09799957	3.040999889	67.45600128	5	5
3453.875	178.654007	14.063	2.523999929	104.7109985	2.924000025	60.85499954	5	5
3454	172.9830017	14.052	2.535000086	112.7229996	2.877000094	63.97200012	5	5
3454.125	171.2420044	12.357	2.599999905	100.6139984	2.931999922	77.85600281	5	5
3454.25	170.4620056	10.245	2.680000067	81.35900116	3.088000059	109.9069977	5	5
3454.375	167.048996	8.515	2.740999937	65.96199799	3.286999941	157.548996	5	5
3454.5	163	7.386	2.77699995	60.04700089	3.45600009	204.2380066	5	5
3454.625	159.776001	7.038	2.792999983	62.10499954	3.549999952	238.7380066	5	5
3454.75	158.4019928	7.295	2.799999952	62.95000076	3.568000078	225.102005	5	5
3454.875	159.2709961	7.872	2.798000097	58.4129982	3.53399992	179.4369965	5	5
